full_name,pdes,name,H,diameter,albedo,om,w,moid,class,rms
   170 Maria,170,Maria,9.4,33.136,0.282,301.2966479652009,158.268179856667,1.41217,MBA,.41393
   171 Ophelia,171,Ophelia,8.6,130.808,0.076,100.4765928246627,55.98180926315605,1.72752,MBA,.43737
   172 Baucis,172,Baucis,8.7,62.43,0.1382,331.9167710549303,359.7120368678984,1.09701,MBA,.45412
   173 Ino,173,Ino,8.0,125.821,0.096,148.1681913654199,228.8328059047299,1.19626,MBA,.46749
   174 Phaedra,174,Phaedra,8.3,64.849,0.169,327.657034374718,289.5067493944895,1.47496,MBA,.45167
   175 Andromache,175,Andromache,8.4,94.532,0.094,21.33500212904784,320.146024645055,1.434,MBA,.43319
   176 Iduna,176,Iduna,8.2,106.976,0.106,200.4915036004874,188.5553142489944,1.64416,MBA,.43401
   177 Irma,177,Irma,9.6,69.049,0.061,346.9778577385824,39.35551068448378,1.12803,MBA,.47931
   178 Belisana,178,Belisana,9.4,35.81,0.2438,51.09283380368849,211.3572187536951,1.33905,MBA,.46459
   179 Klytaemnestra,179,Klytaemnestra,8.1,69.946,0.198,251.8652305865158,103.7170799593883,1.65449,MBA,.497
   180 Garumna,180,Garumna,10.2,23.440,0.242,311.8667481792222,176.1796076536649,1.28049,MBA,.46683
   181 Eucharis,181,Eucharis,7.9,115.383,0.101,143.0198638026373,318.9291753852162,1.52406,MBA,.41353
   182 Elsa,182,Elsa,9.1,39.520,0.196,107.1839277073042,310.8437332011688,.978468,MBA,.51539
   183 Istria,183,Istria,9.6,32.927,0.227,141.9040497591751,264.0825551999538,1.0128,MBA,.38902
   184 Dejopeja,184,Dejopeja,8.4,62.483,0.215,331.5618410353891,210.3940146228641,1.979,MBA,.44649
   185 Eunike,185,Eunike,7.7,160.464,0.062,153.7831710833105,223.4859821085653,1.42111,MBA,.41358
   186 Celuta,186,Celuta,9.1,49.99,0.1929,14.75299680183653,315.5296337184699,1.0193,MBA,.4508
   187 Lamberta,187,Lamberta,8.3,147.294,0.044,21.69147863326249,196.8222874160737,1.0647,MBA,.45652
   188 Menippe,188,Menippe,9.4,35.752,0.242,240.8944614203426,70.17071789847242,1.2827,MBA,.43695
   189 Phthia,189,Phthia,9.3,38.490,0.170,203.357843353084,168.1126569236233,1.36242,MBA,.48007
   190 Ismene,190,Ismene,7.7,159,0.066,175.4558550523275,271.1249637586897,2.34663,OMB,.47367
   191 Kolga,191,Kolga,9.0,94.536,0.046,159.2557899027755,226.2249525531796,1.65163,MBA,.32428
   192 Nausikaa,192,Nausikaa,7.3,98.776,0.327,343.0993215195913,30.67382541866083,.817786,MBA,.53347
   193 Ambrosia,193,Ambrosia,9.7,26.302,0.343,349.5131962269044,82.49982622372147,.886108,MBA,.34648
   194 Prokne,194,Prokne,7.8,161.667,0.057,159.2675465641141,162.9949842542655,.987698,MBA,.46693
   195 Eurykleia,195,Eurykleia,9.2,93.109,0.051,6.973411685605395,118.373188011046,1.77512,MBA,.41498
   196 Philomela,196,Philomela,6.5,144.626,0.342,72.3244669806756,201.1711813156802,2.05073,MBA,.44962
   197 Arete,197,Arete,9.4,31.729,0.373,81.60587515732243,245.937510576463,1.2946,MBA,.43619
   198 Ampella,198,Ampella,8.5,54.323,0.268,268.259324589694,89.14691617970273,.924224,MBA,.42137
   199 Byblis,199,Byblis,8.5,76.129,0.107,88.58171456158217,180.3554177086056,1.57787,MBA,.41962
   200 Dynamene,200,Dynamene,8.3,128.301,0.053,324.2697986817258,86.76120117573008,1.39836,MBA,.40485
   201 Penelope,201,Penelope,8.3,85.877,0.040,156.9252663012895,180.7167832537897,1.18893,MBA,.4663
   202 Chryseis,202,Chryseis,7.5,86.15,0.2562,136.7263508439454,.2535893843190408,1.76396,MBA,.44066
   203 Pompeja,203,Pompeja,8.8,124.592,0.036,347.7240929110352,59.81831551980974,1.5873,MBA,.43164
